id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90282,190,Laureles Parque,Destino-Origen,8A,Directa Centro,Autobuses Poblado Laureles,,,,,1629676800000
90209,041D,Aranjuez anillo derecha,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90180,99,Cerros de Quintalinda,Origen-Destino,6A,Directa Centro,Coopcerquin,,,,,1533081600000
90130,Anillo 3H Carrera 65,Alpujarra - Oriental sentido horario,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700006400000
90118,280 Directa,Santander - Carrera 73,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90111,263,12 de Octubre - Calle 90,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90136,Anillo 2 Carrera 73,El Hueco - Parque Berrío,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90220,51-52 CV-C,Campo Valdés Centro,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,,,,,1533081600000
90141,170,Belén Las Playas,Origen-Destino,3A,Directa Centro,Cootrabel,,,,,1724716800000
90207,24,Playón de los Comuneros - Oriental,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90222,51-52 CV-F,Campo Valdés Ferrocarril,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,,,,,1533081600000
90122,283i,Florencia-estación Acevedo,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1700438400000
90113,263i,12 de Octubre - Estación Tricentenario,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90205,23,Popular N° 1,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90203,22,Santa Cruz - Terminal,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90197,113B,Ávila,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,,,,,1577404800000
90207,24,Playón de los Comuneros - Oriental,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90134,Anillo F3 Carrera 65,Parque Los Periodistas,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90176,97,Cauces-Quintalinda,Origen-Destino,6A,Directa Centro,Flota la V,,,,,1533081600000
90137,Anillo 3ah Carrera 73,Alpujarra - Oriental sentido antihorario,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90128,Anillo 1 Carrera 65,Carabobo - Av. de Greiff,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90124,289,Pilarica Calle 96,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90205,23,Popular N° 1,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1630972800000
90117,280,Santander - Carrera 73,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90210,041I,Aranjuez anillo izquierda,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1593475200000
90119,281,Florencia,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700438400000
90111,263,12 de Octubre - Calle 90,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90203,22,Santa Cruz - Terminal,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1624492800000
90135,Anillo 1 Carrera 73,Carabobo - Av. Greiff,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90139,Anillo F1 Carrera 73,Av. Greiff - Puente Horacio Toro,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90128,Anillo 1 Carrera 65,Carabobo - Av. de Greiff,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90125,306A,Izquierda - Circular Noroccidental,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1700438400000
90199,113,Ávila - Cataluña,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90125,306A,Izquierda - Circular Noroccidental,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1700524800000
90179,97,Quintalinda-El Vergel,Destino-Origen,6A,Directa No Centro,Flota la V,,,,,1533081600000
90130,Anillo 3H Carrera 65,Alpujarra - Oriental sentido horario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700006400000
90109,261i Izq,Izquierda Castilla - Estación Universidad,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1592956800000
90191,111,El Salvador derecho,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90175,97,Cauces-Quintalinda,Origen-Destino,6A,Directa Centro,Flota la V,,,,,1584403200000
90137,Anillo 3ah Carrera 73,Alpujarra - Oriental sentido antihorario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90206,24,Playón de los Comuneros,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1624492800000
90129,Anillo 3AH Carrera 65,Alpujarra - Oriental sentido antihorario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90110,261ii,Estación Tricentenario,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1700092800000
90209,041D,Aranjuez anillo derecha,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1533081600000
90119,281,Florencia,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700438400000
90191,111,El Salvador derecho,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90132,Anillo F1 Carrera 65,Av. Greiff - Puente Horacio Toro,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90222,51-52 CV-F,Campo Valdés Ferrocarril,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,,,,,1533081600000
90126,306B,Derecha - Circular Noroccidental,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90118,280 Directa,Santander - Carrera 73,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90193,111,El Salvador,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90181,099 Horario Esp,Cerros de Quintalinda,Destino-Origen,6A,Directa Centro,Coopcerquin,,,,,1533081600000
90132,Anillo F1 Carrera 65,Av. Greiff - Puente Horacio Toro,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90173,96,Buenos Aires,Destino-Origen,6A,Directa Centro,Flota la V,,,,,1533081600000
90117,280,Santander - Carrera 73,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90199,113,Ávila - Cataluña,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,,,,,1577318400000
90210,041I,Aranjuez anillo izquierda,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1593475200000
90173,96,Buenos Aires,Origen-Destino,6A,Directa Centro,Flota la V,,,,,1533081600000
90198,113M,Pablo E.,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90220,51-52 CV-C,Campo Valdés Centro,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,,,,,1533081600000
90129,Anillo 3AH Carrera 65,Alpujarra - Oriental sentido antihorario,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90188,110,La Milagrosa,Destino-Origen,6A,Directa No Centro,Flota la Milagrosa,,,,,1533081600000
90140,Anillo F3 Carrera 73,Parque Los Periodistas,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90134,Anillo F3 Carrera 65,Parque Los Periodistas,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90124,289,Pilarica Calle 96,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90206,24,Playón de los Comuneros,Destino-Origen,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1624492800000
90237,60,Santo Domingo,Destino-Origen,6E,Directa Centro,Cootranscol,,,,,1533081600000
90113,263i,12 de Octubre - Estación Tricentenario,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90136,Anillo 2 Carrera 73,El Hueco - Parque Berrío,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90138,Anillo 3h Carrera 73,Alpujarra - Oriental sentido horario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90108,261i Der,Derecha Castilla - Estación Universidad,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1592956800000
90188,110,La Milagrosa,Origen-Destino,6A,Directa No Centro,Flota la Milagrosa,,,,,1533081600000
90131,Anillo 3H Carrera 65 Horario Esp,Alpujarra - Oriental sentido horario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700006400000
90195,112,Las Palmas,Origen-Destino,6A,Directa Centro,Copatra,,,,,1596412800000
90180,99,Cerros de Quintalinda,Destino-Origen,6A,Directa Centro,Coopcerquin,,,,,1533081600000
90135,Anillo 1 Carrera 73,Carabobo - Av. Greiff,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90108,261i Der,Derecha Castilla - Estación Universidad,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1592956800000
90172,287,Terminal de Transporte Norte,Origen-Destino,5A,Directa Centro,Autobuses Poblado Laureles,,,,,1533081600000
90133,Anillo F2 Carrera 65,Av. Regional - San Diego,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90197,113B,Ávila,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,,,,,1583971200000
90181,099 Horario Esp,Cerros de Quintalinda,Origen-Destino,6A,Directa Centro,Coopcerquin,,,,,1533081600000
90195,112,Las Palmas,Destino-Origen,6A,Directa Centro,Copatra,,,,,1596412800000
90176,97,Cauces-Quintalinda,Destino-Origen,6A,Directa Centro,Flota la V,,,,,1593129600000
90138,Anillo 3h Carrera 73,Alpujarra - Oriental sentido horario,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90211,42,Aranjuez intermedia,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,,,,,1624492800000
90133,Anillo F2 Carrera 65,Av. Regional - San Diego,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90109,261i Izq,Izquierda Castilla - Estación Universidad,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1592956800000
90140,Anillo F3 Carrera 73,Parque Los Periodistas,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90139,Anillo F1 Carrera 73,Av. Greiff - Puente Horacio Toro,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90198,113M,Pablo E.,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,,,,,1577404800000
90114,263ii,12 de Octubre - Estación Tricentenario,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90116,270i,Gratamira-Estación Acevedo,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1582502400000
90193,111,El Salvador,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,,,,,1533081600000
90305,222,San Javier Niza - Oriental,Origen-Destino,8A,Directa Centro,Conducciones América,,,,,1533081600000
90303,221B,San Javier Derecho-Cuatro Esquinas-Oriental,Origen-Destino,8A,Directa Centro,Conducciones América,,,,,1533081600000
90175,97,Cauces-Quintalinda,Destino-Origen,6A,Directa Centro,Flota la V,,,,,1593475200000
90179,97,Quintalinda-El Vergel,Origen-Destino,6A,Directa No Centro,Flota la V,,,,,1533081600000
90110,261ii,Estación Tricentenario,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1700092800000
90172,287,Terminal de Transporte Norte,Destino-Origen,5A,Directa Centro,Autobuses Poblado Laureles,,,,,1586822400000
90114,263ii,12 de Octubre - Estación Tricentenario,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90294,201B,Corazón-Plaza Minorista,Destino-Origen,8A,Directa Centro,Conducciones América,,,,,1533081600000
