id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90098,260T,Torres,Origen-Destino,2A,Directa Centro,Palenque Robledal,110375,1755182463247,,,,,1755182463247
90099,267,Éxito,Destino-Origen,2A,Directa Centro,Palenque Robledal,110405,1755182463247,,,,,1755182463247
90104,261A,Alfonso López - Viejo Terminal,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110575,1755182463247,,,,,1755182463247
90106,254iB_TV 73,Pilarica,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,110782,1755182463247,,,,,1755182463247
90107,261,Alfonso López Calle 94,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,120565,1755182463247,,,,,1755182463247
90188,110,La Milagrosa,Destino-Origen,6A,Directa No Centro,Flota la Milagrosa,111146,1755182463247,,,,,1755182463247
90109,261i Izq,Izquierda Castilla - Estación Universidad,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,120692,1755182463247,,,,,1755182463247
90110,261ii,Estación Tricentenario,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,110732,1755182463247,,,,,1755182463247
90111,263,12 de Octubre - Calle 90,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110585,1755182463247,,,,,1755182463247
90197,113B,Ávila,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,111165,1755182463247,,,,,1755182463247
90198,113M,Pablo E.,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,111186,1755182463247,,,,,1755182463247
90116,270i,Gratamira-Estación Acevedo,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,110742,1755182463247,,,,,1755182463247
90117,280,Santander - Carrera 73,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110605,1755182463247,,,,,1755182463247
90128,Anillo 1 Carrera 65,Carabobo - Av. de Greiff,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110505,1755182463247,,,,,1755182463247
90118,280 Directa,Santander - Carrera 73,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110615,1755182463247,,,,,1755182463247
90179,97,Quintalinda-El Vergel,Destino-Origen,6A,Directa No Centro,Flota la V,111106,1755182463247,,,,,1755182463247
90235,56,La Esperanza,Destino-Origen,6E,Directa Centro,Cootranscol,131485,1755182463247,,,,,1755182463247
90132,Anillo F1 Carrera 65,Av. Greiff - Puente Horacio Toro,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110535,1755182463247,,,,,1755182463247
90119,281,Florencia,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110625,1755182463247,,,,,1755182463247
90122,283i,Florencia-estación Acevedo,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,110752,1755182463247,,,,,1755182463247
90124,289,Pilarica Calle 96,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110655,1755182463247,,,,,1755182463247
90125,306A,Izquierda - Circular Noroccidental,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,110762,1755182463247,,,,,1755182463247
90126,306B,Derecha - Circular Noroccidental,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,110772,1755182463247,,,,,1755182463247
90071,250AH,La Huerta,Destino-Origen,2A,Directa Centro,Palenque Robledal,110225,1755182463247,,,,,1755182463247
90093,255A,Las Flores-Moravia-Centro,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,110075,1755182463247,,,,,1755182463247
90299,203 Belencito,Belencito-Corazón-Oriental,Destino-Origen,8A,Directa Centro,Conducciones América,112265,1755182463247,,,,,1755182463247
90369,301 DIR-80,Circular,Origen-Destino,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,113067,1755182463247,,,,,1755182463247
90180,99,Cerros de Quintalinda,Origen-Destino,6A,Directa Centro,Coopcerquin,111115,1755182463247,,,,,1755182463247
90129,Anillo 3AH Carrera 65,Alpujarra - Oriental sentido antihorario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110525,1755182463247,,,,,1755182463247
90130,Anillo 3H Carrera 65,Alpujarra - Oriental sentido horario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110515,1755182463247,,,,,1755182463247
90093,255A,Las Flores-Moravia-Centro,Destino-Origen,2A,Directa Centro,Rápido San Cristóbal,110075,1755182463247,,,,,1755182463247
90131,Anillo 3H Carrera 65 Horario Esp,Alpujarra - Oriental sentido horario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,112845,1755182463247,,,,,1755182463247
